ID Phường xã,ID tỉnh thành,ID Quận huyện,Đơn vị,Tên Phường xã,
1,29,1,Xã,An Phú Tây,APT
3,29,1,Xã,Bình Hưng,BH
6,29,1,Xã,Hưng Long,HL
8,29,1,Xã,Phạm Văn Hai,PVH
11,29,1,Xã,Tân Kiên,TK
12,29,1,Xã,Tân Nhựt,TN
13,29,1,Xã,Tân Quý Tây,TQT
14,29,1,Thị trấn,Tân Túc,TT
17,29,2,Phường,An Lạc,AL
26,29,2,Phường,Tân Tạo A,TTA
30,29,3,Phường,13,13
31,29,3,Phường,14,14
32,29,3,Phường,15,15
34,29,3,Phường,19,19
36,29,3,Phường,21,21
41,29,3,Phường,27,27
43,29,3,Phường,3,3
45,29,3,Phường,6,6
48,29,4,Xã,Bình Khánh,BK
49,29,4,Thị trấn,Cần Thạnh,CT
50,29,4,Xã,Long Hòa,LH
51,29,4,Xã,Lý Nhơn,LN
53,29,4,Xã,Thạnh An,TA
55,29,5,Xã,An Phú,AP
58,29,5,Thị trấn,Củ Chi,CC
61,29,5,Xã,Phạm Văn Cội,PVC
64,29,5,Xã,Phước Hiệp,PH
65,29,5,Xã,Phước Thạnh,PT
69,29,5,Xã,Tân Thạnh Đông,TTĐ
70,29,5,Xã,Tân Thạnh Tây,TTT
71,29,5,Xã,Tân Thông Hội,TTH
75,29,5,Xã,Trung Lập Hạ,TLH
77,29,6,Phường,1,1
78,29,6,Phường,10,10
79,29,6,Phường,11,11
80,29,6,Phường,12,12
84,29,6,Phường,16,16
88,29,6,Phường,5,5
90,29,6,Phường,7,7
91,29,6,Phường,8,8
92,29,6,Phường,9,9
96,29,7,Xã,Nhị Bình,NB
98,29,7,Xã,Tân Thới Nhì,TTN
99,29,7,Xã,Tân Xuân,TX
100,29,7,Xã,Thới Tam Thôn,TTT
102,29,7,Xã,Xuân Thới Đông,XTĐ
103,29,7,Xã,Xuân Thới Sơn,XTS
104,29,7,Xã,Xuân Thới Thượng,XTT
105,29,8,Xã,Hiệp Phước,HP
106,29,8,Xã,Long Thới,LT
108,29,8,Xã,Nhơn Đức,NĐ
109,29,8,Xã,Phú Xuân,PX
110,29,8,Xã,Phước Kiển,PK
111,29,8,Xã,Phước Lộc,PL
112,29,9,Phường,1,1
118,29,9,Phường,15,15
119,29,9,Phường,17,17
120,29,9,Phường,2,2
122,29,9,Phường,3,3
124,29,9,Phường,5,5
126,29,9,Phường,7,7
128,29,9,Phường,9,9
290,29,22,Phường,10,10
291,29,22,Phường,11,11
294,29,22,Phường,14,14
301,29,22,Phường,7,7
302,29,22,Phường,8,8
303,29,22,Phường,9,9
304,29,23,Phường,Hiệp Tân,HT
305,29,23,Phường,Hòa Thạnh,HT
307,29,23,Phường,Phú Thọ Hòa,PTH
309,29,23,Phường,Sơn Kỳ,SK
312,29,23,Phường,Tân Thành,TT
329,22,25,Phường,Đội Cấn,ĐC
332,22,25,Phường,Liễu Giai,LG
337,22,25,Phường,Quán Thánh,QT
338,22,25,Phường,Thành Công,TC
339,22,25,Phường,Trúc Bạch,TB
340,22,25,Phường,Vĩnh Phúc,VP
341,22,26,Xã,Ba Trại,BT
342,22,26,Xã,Ba Vì,BV
345,22,26,Xã,Châu Sơn,CS
346,22,26,Xã,Chu Minh,CM
347,22,26,Xã,Cổ Đô,CĐ
348,22,26,Xã,Đông Quang,ĐQ
352,22,26,Xã,Minh Quang,MQ
354,22,26,Xã,Phú Châu,PC
355,22,26,Xã,Phú Cường,PC
358,22,26,Xã,Phú Sơn,PS
360,22,26,Xã,Tản Hồng,TH
361,22,26,Xã,Tản Lĩnh,TL
362,22,26,Thị trấn,Tây Đằng,TĐ
364,22,26,Xã,Thuần Mỹ,TM
366,22,26,Xã,Tiên Phong,TP
368,22,26,Xã,Vân Hòa,VH
369,22,26,Xã,Vạn Thắng,VT
371,22,26,Xã,Yên Bài,YB
375,22,27,Phường,Đức Thắng,ĐT
379,22,27,Phường,Phúc Diễn,PD
380,22,27,Phường,Tây Tựu,TT
382,22,27,Phường,Thụy Phương,TP
384,22,27,Phường,Xuân Tảo,XT
393,22,29,Thị trấn,Chúc Sơn,CS
399,22,29,Xã,Hòa Chính,HC
405,22,29,Xã,Lam Điền,LĐ
407,22,29,Xã,Nam Phương Tiến,NPT
408,22,29,Xã,Ngọc Hòa,NH
411,22,29,Xã,Phụng Châu,PC
412,22,29,Xã,Quảng Bị,QB
413,22,29,Xã,Tân Tiến,TT
415,22,29,Xã,Thượng Vực,TV
416,22,29,Xã,Thụy Hương,TH
417,22,29,Xã,Thủy Xuân Tiên,TXT
418,22,29,Xã,Tiên Phương,TP
421,22,29,Xã,Trung Hòa,TH
422,22,29,Xã,Trường Yên,TY
423,22,29,Xã,Văn Võ,VV
427,22,30,Xã,Hạ Mỗ,HM
429,22,30,Xã,Liên Hà,LH
430,22,30,Xã,Liên Hồng,LH
431,22,30,Xã,Liên Trung,LT
434,22,30,Xã,Song Phượng,SP
435,22,30,Xã,Tân Hội,TH
437,22,30,Xã,Thọ An,TA
