ID quận huyện,ID tỉnh thành,Đơn vị,Tên Quận huyện,Tên đầy đủ,,,,,
1,29,Huyện,Bình Chánh,"Huyện Bình Chánh, Hồ Chí Minh",,,,,
2,29,Quận,Bình Tân,"Quận Bình Tân, Hồ Chí Minh",,,,,
3,29,Quận,Bình Thạnh,"Quận Bình Thạnh, Hồ Chí Minh",,,,,
4,29,Huyện,Cần Giờ,"Huyện Cần Giờ, Hồ Chí Minh",,,,,
5,29,Huyện,Củ Chi,"Huyện Củ Chi, Hồ Chí Minh",,,,,
6,29,Quận,Gò Vấp,"Quận Gò Vấp, Hồ Chí Minh",,,,,
7,29,Huyện,Hóc Môn,"Huyện Hóc Môn, Hồ Chí Minh",,,,,
8,29,Huyện,Nhà Bè,"Huyện Nhà Bè, Hồ Chí Minh",,,,,
9,29,Quận,Phú Nhuận,"Quận Phú Nhuận, Hồ Chí Minh",,,,,
10,29,Quận,Quận 1,"Quận 1, Hồ Chí Minh",,,,,
11,29,Quận,Quận 10,"Quận 10, Hồ Chí Minh",,,,,
12,29,Quận,Quận 11,"Quận 11, Hồ Chí Minh",,,,,
13,29,Quận,Quận 12,"Quận 12, Hồ Chí Minh",,,,,
14,29,Thành phố,Thủ Đức,"Thành phố Thủ Đức, Hồ Chí Minh",,,,,
15,29,Quận,Quận 3,"Quận 3, Hồ Chí Minh",,,,,
16,29,Quận,Quận 4,"Quận 4, Hồ Chí Minh",,,,,
17,29,Quận,Quận 5,"Quận 5, Hồ Chí Minh",,,,,
18,29,Quận,Quận 6,"Quận 6, Hồ Chí Minh",,,,,
19,29,Quận,Quận 7,"Quận 7, Hồ Chí Minh",,,,,
20,29,Quận,Quận 8,"Quận 8, Hồ Chí Minh",,,,,
22,29,Quận,Tân Bình,"Quận Tân Bình, Hồ Chí Minh",,,,,
23,29,Quận,Tân Phú,"Quận Tân Phú, Hồ Chí Minh",,,,,
25,22,Quận,Ba Đình,"Quận Ba Đình, Hà Nội",,,,,
26,22,Huyện,Ba Vì,"Huyện Ba Vì, Hà Nội",,,,,
27,22,Quận,Bắc Từ Liêm,"Quận Bắc Từ Liêm, Hà Nội",,,,,
28,22,Quận,Cầu Giấy,"Quận Cầu Giấy, Hà Nội",,,,,
29,22,Huyện,Chương Mỹ,"Huyện Chương Mỹ, Hà Nội",,,,,
30,22,Huyện,Đan Phượng,"Huyện Đan Phượng, Hà Nội",,,,,
31,22,Huyện,Đông Anh,"Huyện Đông Anh, Hà Nội",,,,,
32,22,Quận,Đống Đa,"Quận Đống Đa, Hà Nội",,,,,
33,22,Huyện,Gia Lâm,"Huyện Gia Lâm, Hà Nội",,,,,
34,22,Quận,Hà Đông,"Quận Hà Đông, Hà Nội",,,,,
35,22,Quận,Hai Bà Trưng,"Quận Hai Bà Trưng, Hà Nội",,,,,
36,22,Huyện,Hoài Đức,"Huyện Hoài Đức, Hà Nội",,,,,
37,22,Quận,Hoàn Kiếm,"Quận Hoàn Kiếm, Hà Nội",,,,,
38,22,Quận,Hoàng Mai,"Quận Hoàng Mai, Hà Nội",,,,,
39,22,Quận,Long Biên,"Quận Long Biên, Hà Nội",,,,,
40,22,Huyện,Mê Linh,"Huyện Mê Linh, Hà Nội",,,,,
41,22,Huyện,Mỹ Đức,"Huyện Mỹ Đức, Hà Nội",,,,,
42,22,Quận,Nam Từ Liêm,"Quận Nam Từ Liêm, Hà Nội",,,,,
43,22,Huyện,Phú Xuyên,"Huyện Phú Xuyên, Hà Nội",,,,,
44,22,Huyện,Phúc Thọ,"Huyện Phúc Thọ, Hà Nội",,,,,
45,22,Huyện,Quốc Oai,"Huyện Quốc Oai, Hà Nội",,,,,
46,22,Huyện,Sóc Sơn,"Huyện Sóc Sơn, Hà Nội",,,,,
47,22,Thị xã,Sơn Tây,"Thị xã Sơn Tây, Hà Nội",,,,,
48,22,Quận,Tây Hồ,"Quận Tây Hồ, Hà Nội",,,,,
49,22,Huyện,Thạch Thất,"Huyện Thạch Thất, Hà Nội",,,,,
50,22,Huyện,Thanh Oai,"Huyện Thanh Oai, Hà Nội",,,,,
51,22,Huyện,Thanh Trì,"Huyện Thanh Trì, Hà Nội",,,,,
52,22,Quận,Thanh Xuân,"Quận Thanh Xuân, Hà Nội",,,,,
53,22,Huyện,Thường Tín,"Huyện Thường Tín, Hà Nội",,,,,
54,22,Huyện,Ứng Hòa,"Huyện Ứng Hòa, Hà Nội",,,,,
55,15,Quận,Cẩm Lệ,"Quận Cẩm Lệ, Đà Nẵng",,,,,
56,15,Quận,Hải Châu,"Quận Hải Châu, Đà Nẵng",,,,,
57,15,Huyện,Hòa Vang,"Huyện Hòa Vang, Đà Nẵng",,,,,
58,15,Huyện,Hoàng Sa,"Huyện Hoàng Sa, Đà Nẵng",,,,,
59,15,Quận,Liên Chiểu,"Quận Liên Chiểu, Đà Nẵng",,,,,
60,15,Quận,Ngũ Hành Sơn,"Quận Ngũ Hành Sơn, Đà Nẵng",,,,,
61,15,Quận,Sơn Trà,"Quận Sơn Trà, Đà Nẵng",,,,,
62,15,Quận,Thanh Khê,"Quận Thanh Khê, Đà Nẵng",,,,,
63,73,Huyện,Bàu Bàng,"Huyện Bàu Bàng, Bình Dương",,,,,
64,73,Thị xã,Bến Cát,"Thị xã Bến Cát, Bình Dương",,,,,
65,73,Huyện,Dầu Tiếng,"Huyện Dầu Tiếng, Bình Dương",,,,,
66,73,Thành phố,Thành phố Dĩ An,"Thành phố Dĩ An, Bình Dương",,,,,
67,73,Huyện,Phú Giáo,"Huyện Phú Giáo, Bình Dương",,,,,
68,73,Thị xã,Tân Uyên,"Thị xã Tân Uyên, Bình Dương",,,,,
69,73,Thành phố,Thủ Dầu Một,"Thành phố Thủ Dầu Một, Bình Dương",,,,,
70,73,Thành phố,Thành phố Thuận An,"Thành phố Thuận An, Bình Dương",,,,,
71,17,Thành phố,Biên Hòa,"Thành phố Biên Hòa, Đồng Nai",,,,,
72,17,Huyện,Cẩm Mỹ,"Huyện Cẩm Mỹ, Đồng Nai",,,,,
73,17,Huyện,Định Quán,"Huyện Định Quán, Đồng Nai",,,,,
74,17,Thành phố,Thành phố Long Khánh,"Thành phố Long Khánh, Đồng Nai",,,,,
75,17,Huyện,Long Thành,"Huyện Long Thành, Đồng Nai",,,,,
76,17,Huyện,Nhơn Trạch,"Huyện Nhơn Trạch, Đồng Nai",,,,,
77,17,Huyện,Huyện Tân Phú,"Huyện Tân Phú, Đồng Nai",,,,,
78,17,Huyện,Thống Nhất,"Huyện Thống Nhất, Đồng Nai",,,,,
